Question,Answer,a,b,c,d
Who kills Cedric Diggory on Lord Voldemort's orders?,c,Draco Malfoy,Severus Snape,Peter Pettigrew,Sirius Black
"Who instructs the Hogwarts suits of armour to defend the castle, using the spell Piertotum Locomotor, during the battle of Hogwarts?",d,Professor Trelawney,Alastor Moody,Professor Filius Flitwick,Professor McGonagall
Which one of the three shapes in the Deathly Hallows symbol represents the Invisibility Cloak?,a,Triangle,Circle,Line,Square
"Which creature threatens Harry, Ron, and Hermione at Gringotts?",b,Basilisk,Dragon,Blast-Ended Skrewt,Chimaera
Which school textbook did Bathilda Bagshot write?,d,Numerology and Grammatica,Break with a Banshee,Flesh-Eating Trees of the World,A History of Magic
Where did the Dumbledore family live when Albus was a boy?,a,Godric's Hollow,Little Hangleton,Spinner's End,Forest of Dean
What position does Oliver Wood play for the Gryffindor Quidditch Team?,b,Chaser,Keeper,Seeker,Beater
What department in the Ministry of Magic does Barty Crouch head up when the Triwizard Tournament occurs?,c,Department of Magical Law Enforcement,Department for the Regulation and Control of Magical Creatures,Department of International Magical Cooperation,Department of Magical Transportation
Viktor Krum is selected by the Goblet of Fire as the Triwizard champion for which school?,d,Beauxbatons Academy of Magic,Ilvermorny,Castelobruxo,Durmstrang
"What member of Dumbledore's Army goes to the Department of Mysteries with Harry, Ron, and Hermione?",d,Luna,Neville,Ginny,All of the above
Which Weasley brother first owns Scabbers as a pet?,b,Ron,Percy,George,Bill
Who escorts the real Harry during his escape from Privet Drive?,d,Mad-Eye Moody,Tonks,Sirius Black,Hagrid
Who is speculated to be the informant leaking Dumbledore's secrets in Rita Skeeter's book?,d,Garrick Ollivander,Xenophilius Lovegood,Silvanus Kettleburn,Bathilda Bagshot
Who sends a message during Bill and Fleur's wedding to warn everyone that the ministry has fallen?,c,Mafalda Hopkirk,Lugo Bagman,Reginald Cattermole,
What are the initials of Harry's oldest son?,a,J.S.P.,A.S.P.,L.L.P.,J.L.P.
Which school champion scores the highest points in the second task of the Triwizard Tournament?,c,Harry Potter,Fleur Delacour,Cedric Diggory,Viktor Krum
